symbol,date,gap,prev_close,o,h,l,c,v,dollar_vol,rel_vol
MFI,2025-01-03,0.855,5.822,10.8,12.64,8.64,10.24,9900572,101381857,1617.2
CRNC,2025-01-03,0.3607,7.93,10.79,19.89,10.3901,19.33,161799588,3127586036,73.7
ONDS,2025-01-03,0.2281,2.63,3.23,3.4,2.76,2.8,37322538,104503106,5.5
BNGO,2025-01-03,0.2141,15.32,18.6,22.8,16.6,19.0,1436853,27300207,27.1
SPCB,2025-01-03,0.2122,7.68,9.31,10.5797,8.1001,9.0,8129784,73168056,110.7
SES,2025-01-03,0.2079,1.9,2.295,2.45,2.07,2.25,43822841,98601392,16.7
BLRX,2025-01-03,0.1742,10.22,12.0,12.4,10.4,10.95,1932650,21162517,56.2
NUS,2025-01-03,0.1693,6.284,7.348,7.87,7.099,7.214,3450063,24888754,5.1
FUBO,2025-01-06,1.7639,17.28,47.76,63.6,36.6,60.72,56845844,3451679647,54.6
ARBE,2025-01-06,0.711,2.63,4.5,4.9,3.48,4.0,129861525,519446100,627.6
GFAI,2025-01-06,0.4404,1.93,2.78,3.88,2.64,2.99,71807120,214703288,52.9
AGPU,2025-01-06,0.425,18.0,25.65,45.9,20.55,28.35,3658335,103713797,661.5
BAOS,2025-01-06,0.3723,3.25,4.46,4.7,3.7,4.26,7323326,31197368,285.3
CHRN,2025-01-06,0.3671,10.95,14.97,14.97,10.36,11.54,2668003,30788754,274.1
MBOT,2025-01-06,0.2944,2.14,2.77,3.38,2.37,2.84,63481177,180286542,368.1
KSCP,2025-01-06,0.2271,14.17,17.3887,17.7877,14.81,15.31,759709,11631144,4.3
IMRX,2025-01-07,0.5847,2.36,3.74,3.8,2.31,2.36,80920352,190972030,216.1
GETY,2025-01-07,0.4397,2.57,3.7,3.865,3.08,3.19,65771442,209810899,128.6
AUR,2025-01-07,0.3923,6.5,9.05,9.83,8.1505,8.39,98923737,829970153,9.7
INVZ,2025-01-07,0.3618,1.99,2.71,3.14,2.12,2.2,84713917,186370617,11.2
CRMD,2025-01-07,0.2774,7.93,10.13,10.89,9.36,10.3,5658283,58280314,7.5
ARBE,2025-01-07,0.265,4.0,5.06,5.09,3.61,3.76,95008464,357231824,442.4
MCVT,2025-01-07,0.239,2.259,2.799,3.149,2.549,3.109,1885060,5860651,491.7
SUIG,2025-01-07,0.2389,2.26,2.8,3.15,2.55,3.11,1885060,5862536,491.7
SANA,2025-01-08,2.6788,1.65,6.07,7.3,4.12,4.3,161196063,693143070,91.9
SILO,2025-01-08,0.789,16.35,29.25,50.55,24.9,25.65,11073705,284040533,1294.8
VIR,2025-01-08,0.5906,7.89,12.55,14.45,11.4701,12.48,39488344,492814533,35.9
XHG,2025-01-08,0.4598,17.4,25.4,61.6,17.8,18.6,3886269,72284603,518.7
LFVN,2025-01-08,0.3371,15.93,21.3,23.24,18.6,19.34,741860,14347572,8.8
ABSI,2025-01-08,0.3322,3.07,4.09,4.22,3.1,3.22,59357511,191131185,25.9
ANGO,2025-01-08,0.2511,9.4,11.76,13.129,11.5,12.94,4428200,57300908,10.3
SLDB,2025-01-08,0.1454,3.92,4.49,4.59,3.94,4.03,2482914,10006143,8.7
XHG,2025-01-10,1.1398,18.6,39.8,46.0,20.0,22.6,3669192,82923739,382.5
DTIL,2025-01-10,0.5111,4.5,6.8,7.4399,5.27,5.7,19259558,109779480,164.7
BAER,2025-01-10,0.3692,2.79,3.82,4.435,2.91,3.28,51728045,169667987,554.7
MVST,2025-01-10,0.3636,1.87,2.55,2.87,2.155,2.35,76813092,180510766,5.6
AIMD,2025-01-10,0.3119,2.866,3.76,5.0,3.25,3.55,3319265,11783390,199.3
PRZO,2025-01-10,0.1978,1.82,2.18,2.2,1.86,2.06,5714541,11771954,1.7
SANA,2025-01-10,0.1698,4.3,5.03,5.16,3.55,3.66,29628905,108441792,16.9
REKR,2025-01-10,0.1656,1.63,1.9,1.9,1.6601,1.82,9024977,16425458,6.4
PHIO,2025-01-13,1.4615,1.69,4.16,9.79,4.11,6.6,281979243,1861063003,4451.4
VRME,2025-01-13,0.2608,2.55,3.215,4.96,3.07,4.13,57601914,237895904,163.9
BDTX,2025-01-13,0.2383,1.93,2.39,2.67,2.17,2.31,11759588,27164648,25.5
INTZ,2025-01-13,0.1931,2.9,3.46,3.55,2.15,2.27,13734451,31177203,47.1
GRRR,2025-01-13,0.1554,11.65,13.46,14.0,10.85,12.07,6324746,76339684,1.7
STIM,2025-01-13,0.1404,1.71,1.95,2.8,1.759,2.34,10421604,24386553,59.0
LAB,2025-01-13,0.135,1.63,1.85,2.14,1.7,2.06,5449536,11226044,4.3
DCTH,2025-01-13,0.1307,11.48,12.98,12.98,11.38,12.79,797321,10197735,2.6
AIFF,2025-01-14,1.3632,1.9,4.49,5.8,2.85,3.15,131280318,413533001,2220.5
PIII,2025-01-14,0.3033,10.75,14.01,14.5,11.13,11.35,1632291,18526502,229.0
STEM,2025-01-14,0.2611,13.48,17.0,18.4,14.2,16.72,2544569,42545193,8.3
RILY,2025-01-14,0.2481,3.95,4.93,4.97,4.34,4.5,2713372,12210174,4.3
KULR,2025-01-14,0.2398,17.68,21.92,22.08,18.16,18.56,4149585,77016297,0.8
APLD,2025-01-14,0.2273,7.765,9.53,9.715,8.25,8.54,69563284,594070445,4.6
GFAI,2025-01-14,0.1695,1.77,2.07,2.57,1.87,2.01,9147784,18387045,4.1
OLMA,2025-01-14,0.124,4.84,5.44,5.44,4.78,5.14,1408995,7242234,1.3
FAMI,2025-01-15,0.6572,3.766,6.241,7.073,3.362,3.589,5696813,20445861,203.6
OSTX,2025-01-15,0.6226,4.16,6.75,7.0,4.0701,4.36,19059205,83098133,310.6
RGTIW,2025-01-15,0.4898,3.43,5.11,5.55,4.5,4.96,2982058,14791007,2.0
ARQQ,2025-01-15,0.3767,18.05,24.85,25.41,20.08,20.59,1335901,27506201,1.2
LAES,2025-01-15,0.3128,3.66,4.805,5.25,4.44,4.56,82228753,374963113,1.2
MASS,2025-01-15,0.2727,1.98,2.52,3.09,2.41,2.91,12218944,35557127,53.3
QBTS,2025-01-15,0.26,4.73,5.96,6.35,5.3,5.79,203553077,1178572315,2.3
QSI,2025-01-15,0.1872,2.03,2.41,2.54,2.13,2.35,47847721,112442144,1.5
BMRA,2025-01-16,2.1429,2.8,8.8,10.16,4.498,5.648,49451075,279299671,1576.4
DOYU,2025-01-16,0.3051,4.736,6.181,6.223,5.799,6.046,1972367,11924930,28.1
SOBR,2025-01-16,0.2809,8.9,11.4,12.5,9.6,10.4,5447478,56653771,35.2
RZLV,2025-01-16,0.1701,2.41,2.82,3.14,2.62,3.01,18915195,56934736,1.6
HUYA,2025-01-16,0.1556,1.703,1.968,1.968,1.72,1.81,6641538,12021183,7.7
FSI,2025-01-16,0.1517,3.619,4.168,5.864,4.119,5.531,18240157,100886308,732.8
INTZ,2025-01-16,0.1273,2.67,3.01,3.4095,2.41,2.52,7594074,19137066,5.4
TPET,2025-01-16,0.1111,1.8,2.0,2.09,1.84,1.98,3242204,6419563,3.0
VS,2025-01-17,0.7708,1.92,3.4,3.79,2.57,2.76,65291137,180203538,837.7
ZEO,2025-01-17,0.5641,2.34,3.66,3.88,2.88,3.3,33572465,110789134,208.4
PRZO,2025-01-17,0.3081,1.85,2.42,2.5099,1.98,2.13,62963936,134113183,21.5
BTCT,2025-01-17,0.2773,4.76,6.08,9.8999,5.28,8.26,61453355,507604712,103.5
XHG,2025-01-17,0.1522,18.4,21.2,26.8,21.0,22.8,1426479,32523721,108.8
TMC,2025-01-17,0.1401,1.57,1.79,1.88,1.465,1.59,16346691,25991238,10.3
PTHS,2025-01-17,0.1354,9.6,10.9,24.5,10.0,19.0,1427435,27121265,140.8
LAES,2025-01-17,0.108,4.35,4.82,5.16,4.17,4.24,60024094,254502158,0.9
ASST,2025-01-21,1.4543,9.29,22.8,29.0,16.54,18.0,13317920,239722560,244.6
INM,2025-01-21,0.4626,4.95,7.24,8.27,4.97,5.05,26115053,131881017,1388.4
VATE,2025-01-21,0.4538,2.757,4.008,5.907,3.534,5.136,31089908,159677767,1221.6
TPET,2025-01-21,0.4045,1.78,2.5,3.25,2.12,2.66,45851073,121963854,40.6
DWTX,2025-01-21,0.3529,1.87,2.53,3.99,2.05,3.15,24445468,77003224,1157.2
LEDS,2025-01-21,0.3206,1.681,2.22,2.48,1.52,1.75,10401723,18203015,250.2
REPL,2025-01-21,0.2426,10.14,12.6,13.13,11.48,11.85,2219113,26296489,3.3
EOLS,2025-01-21,0.235,10.51,12.98,14.49,12.74,13.48,2935318,39568086,5.3
ALOY,2025-01-22,0.9704,1.69,3.33,5.9999,2.68,5.52,237548077,1311265385,12619.8
NUAI,2025-01-22,0.5255,2.74,4.18,4.32,2.78,3.02,30524619,92184349,109.5
ASST,2025-01-22,0.3667,18.0,24.6,34.0,23.0,27.2,6978785,189822952,114.9
NTRB,2025-01-22,0.2649,5.21,6.59,8.18,6.21,7.34,4344471,31888417,186.5
AGPU,2025-01-22,0.2441,19.05,23.7,35.55,19.72,22.2,3222749,71545027,207.0
MGX,2025-01-22,0.2279,2.72,3.34,4.0,2.94,3.03,16972701,51427284,16.8
GELS,2025-01-22,0.181,2.1,2.48,2.8,2.25,2.65,7476412,19812491,72.5
MDAI,2025-01-22,0.1627,2.09,2.43,2.59,2.02,2.06,5914136,12183120,4.8
VNCE,2025-01-23,0.8638,2.35,4.38,5.5699,3.82,3.9,134979670,526420713,391.3
XCUR,2025-01-23,0.4706,10.37,15.25,15.25,12.21,13.66,570785,7796923,5.8
SPCB,2025-01-23,0.284,13.24,17.0,18.95,14.75,14.76,5941227,87692510,13.4
TAL,2025-01-23,0.1774,9.13,10.75,11.09,10.24,11.07,28603173,316637125,6.2
EVLV,2025-01-23,0.1739,3.22,3.78,3.97,3.58,3.95,5968869,23577032,4.3
LYTS,2025-01-23,0.1421,19.49,22.26,25.13,21.84,24.36,1039210,25315155,10.6
FNUC,2025-01-23,0.1212,17.16,19.24,22.75,16.9,18.07,2543035,45952642,2.0
VRME,2025-01-23,0.1,2.4,2.64,2.76,1.85,1.85,6229791,11525113,4.2
EVAX,2025-01-24,0.9148,3.64,6.97,9.8,4.81,6.03,55785416,336386058,1259.0
NVNI,2025-01-24,0.4564,14.9,21.7,58.7,21.2,44.0,36783607,1618478708,806.7
DWTX,2025-01-24,0.3101,13.35,17.49,19.33,10.1,11.4,8162763,93055498,371.8
FPH,2025-01-24,0.1576,4.06,4.7,5.7647,4.7,5.75,4349008,25006796,21.9
DAN,2025-01-24,0.1567,12.83,14.84,15.62,14.67,14.74,5889193,86806704,3.9
WKEY,2025-01-24,0.1548,8.14,9.4,10.09,8.25,8.37,1787737,14963358,1.0
PRFX,2025-01-24,0.1285,15.95,18.0,33.25,16.1,17.85,3699468,66035503,109.9
DDD,2025-01-24,0.1151,3.04,3.39,3.9,3.22,3.85,10795667,41563317,5.3
JG,2025-01-27,1.7328,6.0121,16.43,20.94,11.63,14.53,38722279,562634713,5638.1
YIBO,2025-01-27,0.2558,2.15,2.7,17.47,2.7,3.08,35240720,108541417,3563.1
FMST,2025-01-27,0.1359,1.84,2.09,2.62,1.7842,2.03,4387422,8906466,371.7
ZKIN,2025-01-27,0.1346,4.627,5.25,5.39,4.631,4.76,1218478,5799955,259.3
DTSS,2025-01-27,0.119,2.1,2.35,3.1,1.95,2.08,3879412,8069176,75.1
KC,2025-01-27,0.0936,10.79,11.8,12.19,10.895,11.0,5283669,58120359,2.2
EVER,2025-01-27,0.0831,17.57,19.03,21.3313,19.01,20.89,1638486,34227972,4.3
MSTZ,2025-01-27,0.0786,15.52,16.74,18.31,15.2995,16.05,25951135,416515716,1.3
DXF,2025-01-28,2.2658,7.75,25.31,29.77,17.0491,20.79,2949423,61318504,
YIBO,2025-01-28,0.8117,3.08,5.58,6.12,4.26,5.14,55602591,285797317,5621.8
ZKIN,2025-01-28,0.2355,4.76,5.881,5.95,4.701,5.731,3611523,20697638,768.7
BKSY,2025-01-28,0.2014,13.16,15.81,17.39,13.76,14.02,7991883,112046199,7.9
TC,2025-01-28,0.15,20.0,23.0,23.0,18.9,22.8,344884,7863355,105.7
PHIO,2025-01-28,0.1089,2.02,2.24,2.86,2.0,2.55,10419493,26569707,28.6
WCMI,2025-01-28,0.1049,13.63,15.06,15.06,13.65,13.77,1039258,14310582,57.1
CORZW,2025-01-28,0.102,5.98,6.59,6.59,5.23,6.18,1240762,7667909,2.7
AZIO,2025-01-29,0.3005,5.69,7.4,8.1,6.066,6.67,4728353,31538114,1191.5
SXTP,2025-01-29,0.2847,15.42,19.81,24.0,18.42,21.2,2802283,59408399,265.0
PACK,2025-01-29,0.2213,5.74,7.01,8.6207,6.81,8.43,14745310,124302963,89.4
FGMCU,2025-01-29,0.1988,8.25,9.89,9.9,9.82,9.83,5369946,52786569,
NWTG,2025-01-29,0.1842,11.4,13.5,18.84,10.33,17.7,1740695,30810301,33.8
DJTWW,2025-01-29,0.1616,19.62,22.79,23.3912,21.06,22.01,393800,8667538,3.3
PL,2025-01-29,0.1447,5.46,6.25,6.25,5.18,5.55,24549197,136248043,5.6
ARRY,2025-01-29,0.0958,6.68,7.32,7.4,6.87,7.15,7417415,53034517,1.4
ATHE,2025-01-30,0.9759,2.91,5.75,5.87,4.07,4.57,23091768,105529379,615.2
KZIA,2025-01-30,0.5652,6.9,10.8,13.2,8.65,9.5,20794535,197548082,1504.6
NWTG,2025-01-30,0.3051,17.7,23.1,32.7,21.9,27.04,4315638,116694851,83.7
ONEW,2025-01-30,0.1726,15.35,18.0,20.15,16.71,17.46,476677,8322780,3.1
ACMR,2025-01-30,0.1173,17.48,19.53,21.1394,19.0,20.54,4648708,95484462,4.6
TSLG,2025-01-30,0.117,11.37,12.7,12.7,11.14,12.08,503176,6078366,2.5
FLG,2025-01-30,0.1011,9.554,10.52,11.31,10.37,11.01,17188920,189250009,3.2
DTCX,2025-01-30,0.0871,3.56,3.87,4.33,3.5005,3.7,2162971,8002992,21.6
NCEL,2025-01-31,0.5303,19.8,30.3,33.7,22.9,24.9,6124276,152494472,356.5
CYCN,2025-01-31,0.315,2.54,3.34,4.47,3.04,3.92,82574079,323690389,1531.1
RIME,2025-01-31,0.3115,4.88,6.4,6.44,5.02,5.12,1708990,8750028,3.2
VIAV,2025-01-31,0.2132,9.99,12.12,12.907,11.88,12.04,17601288,211919507,13.3
CIFR,2025-01-31,0.1915,4.7,5.6,6.29,5.5,5.73,43243879,247787426,4.4
REBN,2025-01-31,0.1872,2.03,2.41,5.4,2.3,3.3,55537744,183274555,856.5
LODE,2025-01-31,0.1831,3.55,4.2,4.2,3.609,3.81,3309687,12609907,3.8
ORKT,2025-01-31,0.1752,5.48,6.44,7.596,6.04,6.92,3201260,22152719,7.2
GHRS,2025-02-03,0.8868,10.6,20.0,20.5,17.51,17.99,10306762,185418648,131.7
REBN,2025-02-03,0.5152,3.3,5.0,6.75,4.701,5.09,66976266,340909193,873.1
KC,2025-02-03,0.187,12.57,14.92,16.34,14.57,15.14,11320730,171395852,4.7
MX,2025-02-03,0.1852,4.05,4.8,4.99,4.53,4.58,1450465,6643129,9.5
SSYS,2025-02-03,0.1643,9.31,10.84,11.41,10.48,11.31,4668467,52800361,10.8
RIME,2025-02-03,0.1641,5.12,5.96,5.96,5.1,5.34,942387,5032346,1.8
MSTZ,2025-02-03,0.15,17.27,19.86,19.88,15.8,15.98,24547634,392271191,1.3
UNG,2025-02-03,0.0772,16.19,17.44,17.98,17.382,17.64,9246918,163115633,0.9
AZTR,2025-02-04,0.8852,1.855,3.497,3.915,1.615,2.158,37333173,80564987,287.7
QNTM,2025-02-04,0.8365,3.18,5.84,7.28,4.76,6.71,78536687,526981169,1196.1
EVAX,2025-02-04,0.6375,2.4,3.93,4.05,2.93,3.27,62816946,205411413,337.5
PTIR,2025-02-04,0.448,9.848,14.26,15.24,13.75,14.5,25450650,369034425,2.5
FNUC,2025-02-04,0.1561,8.996,10.4,11.7,9.601,10.49,3488326,36592539,2.5
KAPA,2025-02-04,0.1382,1.52,1.73,1.92,1.57,1.74,11686100,20333814,119.9
XGN,2025-02-04,0.1211,3.88,4.35,5.35,4.3291,5.02,1103434,5539238,11.5
QNRX,2025-02-04,0.1181,10.33,11.55,16.1,10.67,10.68,1396285,14912323,69.3
OGEN,2025-02-05,0.8796,8.523,16.02,18.9,7.626,8.88,8263239,73377562,647.2
KTTA,2025-02-05,0.7452,2.08,3.63,3.85,2.67,2.74,61494899,168496023,2185.0
CYN,2025-02-05,0.3258,10.65,14.12,15.33,12.0,12.3,2996546,36857515,77.9
ACB,2025-02-05,0.269,3.68,4.6699,5.6899,4.57,5.37,69873084,375218461,103.9
AURE,2025-02-05,0.1988,16.1,19.3,27.0,11.0,11.6,642999,7458788,30.1
SFHG,2025-02-05,0.19,5.0,5.95,6.45,5.15,5.6,4084943,22875680,26.9
MAT,2025-02-05,0.1771,18.07,21.27,21.35,20.18,20.84,18416580,383801527,7.8
ASST,2025-02-05,0.1647,10.99,12.8,19.19,12.64,15.8,8507659,134421012,150.8
SBET,2025-02-06,0.4968,5.04,7.544,8.268,5.808,6.562,3814991,25033970,146.1
QNTM,2025-02-06,0.3415,8.58,11.51,18.0,10.665,14.5,35675746,517298317,543.3
APPS,2025-02-06,0.2598,2.54,3.2,5.13,3.12,4.99,121528075,606425094,40.6
IVVD,2025-02-06,0.1943,2.11,2.52,2.74,1.88,1.98,74698855,147903732,70.1
PTON,2025-02-06,0.1755,7.58,8.91,9.755,8.2,8.49,65068515,552431692,6.4
LAES,2025-02-06,0.1702,3.82,4.47,4.475,3.93,4.0,47288181,189152724,0.9
MBX,2025-02-06,0.1467,11.25,12.9,14.23,12.21,12.26,942127,11550477,3.7
ARBE,2025-02-06,0.1371,2.48,2.82,3.05,2.6805,2.73,18034987,49235514,2.4
UPC,2025-02-07,0.2826,6.44,8.26,9.8,6.38,7.36,3607053,26547910,254.9
TNXP,2025-02-07,0.2198,11.24,13.71,18.3999,12.018,12.39,10610628,131465680,12.8
SEGG,2025-02-07,0.2057,14.1,17.0,18.4,13.3,16.0,6023103,96369648,252.7
ULCC,2025-02-07,0.1496,8.09,9.3,9.67,9.002,9.34,5864688,54776185,2.4
CLSK,2025-02-07,0.1127,10.38,11.55,12.47,11.2,11.33,57545897,651995013,2.5
NTRB,2025-02-07,0.1094,6.67,7.4,8.86,7.4,7.81,898949,7020791,15.8
PGY,2025-02-07,0.0985,11.07,12.16,12.88,11.85,12.5,5067822,63347775,3.3
GRRR,2025-02-07,0.0863,18.07,19.63,20.47,18.313,18.57,3916238,72724539,1.4
CYN,2025-02-10,0.4695,9.03,13.27,29.55,12.15,27.71,13908136,385394448,330.8
NCEL,2025-02-10,0.3422,18.7,25.1,29.7,23.1,25.7,5048740,129752618,262.7
BNAI,2025-02-10,0.3171,4.1,5.4,10.5,4.659,6.951,22134317,153855637,349.9
SLDB,2025-02-10,0.2604,2.88,3.63,3.97,3.27,3.44,4602522,15832675,9.6
DOMH,2025-02-10,0.2115,2.497,3.025,5.041,2.898,4.778,23714849,113309548,242.3
MBLY,2025-02-10,0.1506,16.07,18.49,19.1944,17.88,17.97,13664131,245544434,2.4
BFRG,2025-02-10,0.1259,2.86,3.22,4.3494,3.2,3.36,14154888,47560423,43.3
BBAI,2025-02-10,0.0978,8.59,9.43,9.7,8.2,8.72,187500676,1635005894,4.5
DOMH,2025-02-11,0.6932,4.778,8.09,8.788,5.685,5.786,33245308,192357352,307.7
INAB,2025-02-11,0.476,8.103,11.96,12.53,8.7,9.204,7561146,69592787,335.6
AIFF,2025-02-11,0.3871,3.1,4.2999,11.51,3.95,8.4,195409794,1641442269,1288.8
SLQT,2025-02-11,0.2877,4.38,5.64,6.86,5.25,5.73,29714801,170265809,26.7
SATL,2025-02-11,0.1208,4.51,5.055,5.12,4.03,4.09,3522827,14408362,6.4
LUXE,2025-02-11,0.08,10.0,10.8,12.5,10.8,12.38,437453,5415668,5.3
ENTA,2025-02-11,0.0714,4.9,5.25,5.9878,5.2308,5.59,1172565,6554638,2.7
XLO,2025-02-12,1.0548,9.198,18.9,23.8,16.94,20.72,12085783,250417423,879.3
VBIO,2025-02-12,0.6401,3.995,6.552,11.93,5.964,11.9,30368747,361388089,1979.7
NWTG,2025-02-12,0.291,11.96,15.44,25.5,13.8,22.14,2432590,53857542,38.8
AIFF,2025-02-12,0.2774,8.4,10.73,14.4499,10.57,12.97,94554576,1226372850,554.9
DUO,2025-02-12,0.2103,9.122,11.04,11.46,9.678,9.938,2314413,23000636,22.0
CLMT,2025-02-12,0.1965,15.88,19.0,19.14,17.21,17.41,3627569,63155976,3.0
NEUP,2025-02-12,0.1298,4.47,5.0501,5.1199,4.25,4.63,2970600,13753878,31.5
ANGI,2025-02-12,0.1098,17.3,19.2,20.7,16.0,16.3,555017,9046777,7.0
MBRX,2025-02-13,0.6429,10.5,17.25,91.25,14.25,31.75,4290637,136227724,2438.6
EDSA,2025-02-13,0.6075,1.86,2.99,4.4899,2.83,3.25,115456916,375234977,7193.1
XHG,2025-02-13,0.3289,12.04,16.0,21.4,14.4,14.63,1228880,17978514,70.8
AIFF,2025-02-13,0.2914,12.97,16.75,17.2,14.05,15.46,40641845,628322923,214.8
DNOW,2025-02-13,0.273,14.14,18.0,18.4494,16.22,16.98,2228760,37844344,2.8
DOMH,2025-02-13,0.2068,5.328,6.43,10.53,5.957,10.08,11109916,111987953,97.7
OTLY,2025-02-13,0.1688,7.7,9.0,10.8,8.0,10.6,952388,10095312,8.6
OPRT,2025-02-13,0.1624,5.91,6.87,7.75,6.2,6.4,3988252,25524812,17.1
WRD,2025-02-14,1.081,17.17,35.73,42.24,27.53,31.5,21075358,663873777,322.0
OSTX,2025-02-14,0.392,1.99,2.77,2.98,2.16,2.23,38698636,86297958,217.3
NUS,2025-02-14,0.3824,6.15,8.502,9.618,7.127,7.242,3586154,25970927,6.8
SEGG,2025-02-14,0.234,14.1,17.4,20.4,15.7,16.0,1053074,16849184,43.1
PONY,2025-02-14,0.1978,14.86,17.8,17.9,16.02,16.54,3480653,57570000,4.8
ZH,2025-02-14,0.1783,4.6,5.42,5.49,5.0,5.32,4057325,21584969,18.9
KC,2025-02-14,0.1671,17.35,20.25,21.69,20.25,20.81,7645031,159093095,2.4
PROP,2025-02-14,0.1652,7.87,9.17,9.32,8.5,8.75,731559,6401141,5.5
PRFX,2025-02-18,0.8688,14.1,26.35,27.35,16.85,18.55,8767703,162640890,452.5
DFSC,2025-02-18,0.6784,9.807,16.46,26.46,14.82,16.68,13696641,228459971,601.5
SLDB,2025-02-18,0.6576,4.03,6.68,7.2,5.04,5.3,71207587,377400211,128.4
GCL,2025-02-18,0.42,3.0492,4.33,9.89,4.1,7.5,58161835,436213762,2054.5
SOBR,2025-02-18,0.2476,10.5,13.1,14.2,10.0,10.5,3722106,39082113,28.7
IPHA,2025-02-18,0.2165,1.94,2.36,2.38,2.04,2.34,11531370,26983405,537.9
AIFF,2025-02-18,0.1587,9.01,10.44,10.6,8.02,8.37,6648170,55645182,31.2
PCT,2025-02-18,0.1515,9.31,10.72,11.525,10.02,10.9,7287347,79432082,3.7
SINT,2025-02-19,0.8723,2.82,5.28,6.11,4.25,4.82,70949431,341976257,3824.3
OSRH,2025-02-19,0.8199,3.11,5.66,10.0,5.0,5.46,42095643,229842210,8169.9
SEDG,2025-02-19,0.3447,16.93,22.765,23.7697,19.5,19.63,30846787,605522428,8.7
CURR,2025-02-19,0.1412,1.7,1.94,2.77,1.5425,1.58,6590499,10412988,25.3
CVI,2025-02-19,0.1205,18.43,20.65,22.13,19.43,19.8,3447623,68262935,4.4
SERV,2025-02-19,0.1159,11.82,13.19,14.295,12.64,13.365,26006319,347574453,2.2
ADEA,2025-02-19,0.1127,13.22,14.71,16.95,14.39,16.09,2572794,41396255,6.2
UIS,2025-02-19,0.1061,6.69,7.4,7.54,5.88,5.94,1685552,10012178,4.9
KYNB,2025-02-20,0.4299,14.05,20.09,21.94,16.75,19.31,4905887,94732677,175.1
XOS,2025-02-20,0.4153,3.13,4.43,9.1499,4.24,6.25,96590886,603693037,7208.0
CYD,2025-02-20,0.2919,15.28,19.74,22.69,17.3,18.55,1535126,28476587,66.3
HLF,2025-02-20,0.2856,5.62,7.225,8.4,6.7849,8.02,23903769,191708227,13.0
AMPL,2025-02-20,0.2321,11.85,14.6,14.88,13.1059,14.44,4087662,59025839,9.4
VNET,2025-02-20,0.1549,13.04,15.06,16.13,13.0,14.68,27837371,408652606,4.7
SUIG,2025-02-20,0.1471,2.1794,2.5,2.82,2.26,2.3,5418496,12462540,29.1
MCVT,2025-02-20,0.1469,2.179,2.499,2.819,2.259,2.299,5418496,12457122,29.1
UPC,2025-02-21,0.8193,5.7,10.37,13.95,7.08,8.056,10505314,84630809,512.0
OSRH,2025-02-21,0.5072,3.45,5.2,6.95,4.22,4.22,24838212,104817254,3579.3
CYD,2025-02-21,0.1854,18.55,21.99,22.48,19.15,19.54,2031718,39699769,87.7
SEGG,2025-02-21,0.1781,14.6,17.2,19.0,13.15,13.8,823715,11367267,23.3
EDIT,2025-02-21,0.165,2.06,2.4,2.4,1.89,1.92,9469267,18180992,5.0
TUYA,2025-02-21,0.1018,3.645,4.016,4.349,3.683,3.814,16658853,63536865,5.4
SOBR,2025-02-21,0.0882,10.2,11.1,11.6,10.2,11.2,559726,6268931,4.1
TANH,2025-02-21,0.087,2.99,3.25,3.4699,2.85,3.17,3133961,9934656,38.1
BVC,2025-02-24,2.7982,6.503,24.7,26.8,15.5,16.3,12212689,199066830,2864.1
ATCH,2025-02-24,0.7106,2.35,4.02,13.19,4.0,5.56,146448389,814253042,1299.9
CNEY,2025-02-24,0.2796,6.115,7.825,10.25,5.507,5.525,4723733,26098624,136.1
FRSX,2025-02-24,0.2307,18.77,23.1,23.94,16.86,17.77,594492,10564122,104.9
DOMH,2025-02-24,0.1574,6.36,7.361,7.53,5.739,6.118,2016839,12339021,4.5
LINC,2025-02-24,0.1492,16.09,18.49,19.79,16.28,18.55,832741,15447345,8.0
GSUN,2025-02-24,0.1283,2.65,2.99,5.25,2.91,3.11,2959057,9202667,770.1
RILY,2025-02-24,0.0853,3.4,3.69,5.2799,3.5,4.54,19650887,89215026,27.3
VIVS,2025-02-25,2.3875,4.428,15.0,21.96,11.28,15.24,32191328,490595838,3367.6
WAFU,2025-02-25,0.838,1.79,3.29,7.4899,2.41,2.85,125457213,357553057,5478.5
MFI,2025-02-25,0.4925,4.798,7.161,10.08,5.856,6.801,9174112,62393135,735.3
ADIL,2025-02-25,0.2394,19.13,23.71,32.5,20.25,23.07,1705258,39340302,549.5
GTBP,2025-02-25,0.2118,2.03,2.46,3.12,2.02,2.46,26697356,65675495,997.7
DOMH,2025-02-25,0.1702,6.118,7.159,8.071,5.997,7.99,3816362,30492732,6.8
RDHL,2025-02-25,0.1515,4.82,5.55,5.75,3.01,4.25,2424933,10305965,245.8
PGEN,2025-02-25,0.1429,1.75,2.0,2.13,1.68,1.73,5365782,9282802,3.2
ENVB,2025-02-26,1.6017,14.16,36.84,54.0,25.44,27.6,11285099,311468732,521.5
CHAI,2025-02-26,0.9971,14.0,27.96,27.96,14.92,16.68,5835039,97328450,143.8
PRCH,2025-02-26,0.2797,3.79,4.85,6.92,4.82,6.6,32034081,211424934,36.1
INGN,2025-02-26,0.2542,9.52,11.94,11.94,7.78,8.11,1604197,13010037,5.5
VISN,2025-02-26,0.1966,2.386,2.855,3.05,2.659,3.011,21059380,63409793,5.5
EYE,2025-02-26,0.1801,11.44,13.5,13.84,12.58,12.77,3728479,47612676,3.0
GTM,2025-02-26,0.1726,9.53,11.175,12.065,10.92,11.73,37434984,439112362,7.2
