symbol,date,gap,prev_close,o,h,l,c,v,dollar_vol,rel_vol
TE,2023-11-13,0.16,1.5,1.74,1.88,1.53,1.75,12843763,22476585,5.8
MNTK,2023-11-13,0.1298,6.47,7.31,8.78,7.26,8.695,1350526,11742823,6.8
RLX,2023-11-13,0.1281,1.554,1.753,1.895,1.753,1.782,24871882,44321693,6.0
OSPN,2023-11-13,0.083,9.01,9.758,9.891,9.323,9.436,814828,7688717,2.8
HMY,2023-11-13,0.0828,4.309,4.666,4.704,4.55,4.56,4587317,20918165,1.1
TTI,2023-11-13,0.0721,4.3,4.61,5.0495,4.6,4.82,4586988,22109282,2.9
BCDA,2023-11-14,2.2331,5.985,19.35,23.25,14.87,16.05,9057830,145378171,2872.8
SPCB,2023-11-14,0.1984,7.46,8.94,12.6,8.11,8.4,1677445,14090538,34.0
PSFE,2023-11-14,0.1271,10.7,12.06,13.59,11.1301,13.59,2385478,32418646,6.3
PCT,2023-11-14,0.1209,3.06,3.43,4.1,3.365,3.89,8591896,33422475,4.8
OPEN,2023-11-14,0.1084,2.03,2.25,2.37,2.22,2.29,26993864,61815948,1.8
LWAY,2023-11-14,0.1066,9.38,10.38,13.1,9.67,13.0,653923,8500999,7.9
TWST,2023-11-14,0.1037,17.26,19.05,19.92,18.59,19.67,1534106,30175865,1.8
PACB,2023-11-14,0.0994,6.44,7.08,7.425,7.0,7.22,6987951,50453006,1.6
CMMB,2023-11-15,0.6721,2.44,4.08,4.32,2.68,3.268,19202573,62754008,4290.1
HSCS,2023-11-15,0.2407,17.99,22.32,24.5,14.49,15.0,688565,10328475,648.1
ARCT,2023-11-15,0.1845,19.4,22.98,26.5,22.46,22.52,1653921,37246300,5.1
CRMD,2023-11-15,0.1725,3.13,3.67,4.34,2.57,3.33,13846581,46109114,28.9
SLDB,2023-11-15,0.169,2.13,2.49,3.06,2.45,2.725,12943761,35271748,429.9
NEGG,2023-11-15,0.1354,15.29,17.36,21.4,17.02,20.0,258523,5170460,20.5
ASTS,2023-11-15,0.0902,3.77,4.11,4.9399,4.1,4.66,8152481,37990561,5.1
AIFF,2023-11-16,0.7152,4.74,8.13,8.94,7.02,8.37,8159006,68290880,1292.7
M,2023-11-16,0.1263,11.24,12.66,12.87,11.68,11.89,53446046,635473486,5.7
CISO,2023-11-16,0.0971,2.4,2.633,2.895,1.902,2.078,2710772,5632984,31.9
UTI,2023-11-16,0.0774,9.69,10.44,11.45,9.98,11.25,747511,8409498,11.0
GAP,2023-11-17,0.199,12.61,15.12,16.74,14.82,16.47,69084585,1137823114,9.4
OPTX,2023-11-17,0.1262,5.15,5.8,10.43,5.7,8.96,12455731,111603349,271.9
KOD,2023-11-17,0.0938,1.92,2.1,2.59,2.08,2.49,5172135,12878616,10.6
CHRS,2023-11-17,0.0877,1.71,1.86,2.15,1.81,2.13,8355300,17796789,2.7
TWST,2023-11-17,0.0802,19.07,20.6,24.88,20.59,24.01,4295804,103142254,5.0
MANU,2023-11-17,0.0754,18.43,19.82,20.35,19.28,19.88,3763657,74821501,4.5
YPF,2023-11-20,0.2628,10.73,13.55,15.38,13.34,15.01,24596282,369190192,14.3
SUPV,2023-11-20,0.2388,1.981,2.454,2.522,2.227,2.454,2576027,6321570,6.1
BBAR,2023-11-20,0.1835,3.645,4.314,4.521,4.099,4.323,3449587,14912564,6.4
GGAL,2023-11-20,0.1835,11.06,13.09,13.99,12.84,12.97,4654089,60363534,6.1
CEPU,2023-11-20,0.1802,5.611,6.622,7.014,6.376,6.74,1162604,7835950,5.0
BMA,2023-11-20,0.1781,16.84,19.84,21.66,19.13,20.24,1605836,32502120,8.0
MIRA,2023-11-20,0.1747,3.32,3.9,6.4,3.7013,4.65,4275930,19883074,371.7
TEO,2023-11-20,0.1574,5.139,5.948,6.448,5.9,6.285,1061184,6669541,23.6
ANGH,2023-11-21,0.3544,15.8,21.4,34.9,21.0,31.1,5778934,179724847,2663.1
ABVC,2023-11-21,0.1243,1.69,1.9,2.22,1.72,1.78,16503477,29376189,39.3
MCRB,2023-11-21,0.1031,19.4,21.4,23.6,20.6,20.9,275881,5765912,1.9
AORT,2023-11-21,0.0984,14.12,15.51,16.7189,15.25,15.87,745077,11824371,3.9
HSCS,2023-11-22,0.2341,19.61,24.2,27.39,21.5,23.6,576606,13607901,169.9
VFS,2023-11-22,0.0851,5.99,6.5,6.58,6.14,6.18,7040373,43509505,2.1
BGLC,2023-11-24,1.193,3.42,7.5,9.2,6.046,9.0,8404180,75637620,1308.2
VS,2023-11-24,0.4948,2.688,4.018,6.63,3.683,3.808,8023826,30554729,158.0
MTC,2023-11-24,0.2548,7.842,9.84,11.12,9.04,11.04,760881,8400126,19.4
BDRY,2023-11-24,0.0967,6.62,7.26,7.6,7.02,7.52,870321,6544813,3.6
RDHL,2023-11-27,1.2274,7.888,17.57,28.5,16.65,25.0,7730300,193257500,462.9
SNEX,2023-11-27,0.4707,18.57,27.31,28.39,27.31,27.43,287529,7886920,1.0
TGS,2023-11-27,0.0897,13.27,14.46,14.9,13.68,14.04,907277,12738169,5.4
SUPV,2023-11-27,0.0789,2.928,3.159,3.377,3.013,3.159,3599572,11371047,7.7
TIGR,2023-11-27,0.0782,4.86,5.24,5.5,4.36,4.46,9271781,41352143,10.8
EONR,2023-11-28,0.7341,1.73,3.0,4.15,2.61,3.64,45994558,167420191,2227.4
OIO,2023-11-28,0.4754,2.684,3.96,4.5,3.09,3.9,3854411,15032202,1324.5
RNA,2023-11-28,0.2532,6.16,7.72,8.0,6.6,7.08,18875811,133640741,31.0
CWEN,2023-11-28,0.0789,19.51,21.05,21.98,20.86,21.52,6951078,149587198,8.1
VVOS,2023-11-29,1.7175,4.39,11.93,48.79,9.87,41.0,46864355,1921438555,1322.0
CPHI,2023-11-29,0.9038,4.99,9.5,11.57,5.57,6.495,2134167,13861414,170.3
BMEA,2023-11-29,0.2193,9.94,12.12,15.295,11.68,12.75,5443719,69407417,14.3
GME,2023-11-29,0.1483,13.49,15.49,17.56,14.7,16.25,61172837,994058601,17.7
VTVT,2023-11-29,0.1265,9.41,10.6,16.2,10.3197,14.87,712593,10596257,815.3
COCH,2023-11-29,0.0847,1.77,1.92,3.48,1.81,2.76,2982900,8232803,251.6
QS,2023-11-29,0.0838,5.73,6.21,6.825,6.13,6.31,20398919,128717178,4.0
SNGX,2023-11-30,0.3241,6.646,8.8,32.0,8.49,15.68,6168106,96715902,2577.0
REX,2023-11-30,0.3024,18.45,24.03,25.59,23.03,24.51,580898,14237809,4.2
VFS,2023-11-30,0.1481,7.56,8.68,9.3,8.27,8.45,19409107,164006954,5.6
BGLC,2023-11-30,0.1009,10.9,12.0,16.0,8.1,9.5,871944,8283468,135.7
BDRY,2023-11-30,0.0884,8.71,9.48,9.48,8.9,9.33,840413,7841053,3.2
OTLY,2023-11-30,0.0805,19.99,21.6,22.4,18.0,18.2,409498,7452863,1.8
BMEA,2023-11-30,0.0792,12.75,13.76,15.2,12.57,15.07,3379066,50922524,8.8
BCYC,2023-11-30,0.0725,13.52,14.5,15.36,14.31,14.4,693997,9993556,1.4
ALT,2023-12-01,0.8165,3.16,5.74,5.87,3.52,3.57,101190426,361249820,84.6
PATH,2023-12-01,0.1442,19.76,22.61,25.47,22.13,25.04,53677044,1344073181,9.7
GCT,2023-12-01,0.1276,9.72,10.96,12.27,9.9,11.8,2494806,29438710,6.5
EYPT,2023-12-04,2.3283,6.61,22.0,22.44,17.31,18.34,20831338,382046738,36.8
ATHE,2023-12-04,1.5602,1.66,4.25,5.41,3.55,4.2,34694312,145716110,19712.7
ANY,2023-12-04,0.2625,8.0,10.1,10.7,8.2,10.7,1117193,11953965,53.4
ABSI,2023-12-04,0.1897,1.74,2.07,2.43,1.74,1.96,3605107,7066009,13.7
KEEL,2023-12-04,0.1566,1.66,1.92,1.97,1.66,1.75,68648412,120134721,6.8
CLSK,2023-12-04,0.1558,7.64,8.83,9.37,8.12,8.87,44827478,397619729,2.4
BITX,2023-12-04,0.1491,15.22,17.49,17.82,17.08,17.56,1225280,21515916,1.7
ALT,2023-12-04,0.1485,3.57,4.1,5.37,4.06,4.63,52985073,245320887,43.5
HSCS,2023-12-05,0.2665,18.95,24.0,24.42,19.23,19.88,454256,9030609,6.4
TVTX,2023-12-05,0.1685,6.29,7.35,8.27,7.31,7.4,6106987,45191703,4.3
SERA,2023-12-06,1.3857,2.1,5.01,9.86,4.11,5.49,78819468,432718879,9732.0
PHR,2023-12-06,0.2312,14.75,18.16,19.035,17.38,17.88,2875386,51411901,5.2
PHIO,2023-12-06,0.1964,10.08,12.06,18.81,11.16,14.31,2925431,41862917,762.5
KMDA,2023-12-06,0.1571,4.634,5.362,6.08,5.362,5.601,2385353,13360362,172.4
S,2023-12-06,0.144,20.0,22.88,24.39,22.3,23.32,25909037,604198742,6.7
ALT,2023-12-06,0.1044,5.17,5.71,7.615,5.53,6.88,55072703,378900196,43.6
ASPN,2023-12-06,0.0995,10.65,11.71,12.8,11.68,11.97,2448992,29314434,3.2
ASLE,2023-12-07,0.1565,14.25,16.48,16.6899,14.92,14.95,1310106,19586084,4.2
JBLU,2023-12-07,0.1205,4.73,5.3,5.5,5.15,5.45,39869161,217286927,2.8
SMTC,2023-12-07,0.1078,16.7,18.5,20.48,18.03,19.42,9463077,183772955,6.2
ERAS,2023-12-07,0.0983,1.73,1.9,1.95,1.81,1.85,4802609,8884826,9.0
VTGN,2023-12-07,0.0926,4.43,4.84,5.18,4.56,4.87,2005358,9766093,4.7
MBI,2023-12-08,0.6952,3.219,5.457,5.893,5.134,5.854,11521081,67444408,29.2
XCUR,2023-12-08,0.5415,2.011,3.1,3.3,2.325,2.586,4988231,12899565,1485.9
CURV,2023-12-08,0.2651,4.15,5.25,5.9319,4.5,4.84,1759405,8515520,13.0
VIRC,2023-12-08,0.1398,6.803,7.754,8.491,7.501,8.258,675086,5574860,9.3
MOMO,2023-12-08,0.1109,5.453,6.058,6.374,5.693,5.975,4684646,27990759,6.8
ALXO,2023-12-08,0.1049,9.25,10.22,13.5,10.15,12.26,3850931,47212414,12.2
KTTA,2023-12-11,1.7674,6.002,16.61,17.4,7.9,8.848,4975150,44020127,4649.7
INVZ,2023-12-11,0.2167,1.8,2.19,2.39,2.03,2.3,29105273,66942127,12.0
M,2023-12-11,0.1464,15.51,17.78,18.94,17.4,18.52,67584643,1251667588,4.9
SLNH,2023-12-11,0.0949,3.69,4.04,4.04,3.42,3.98,1762432,7014479,37.3
SYRE,2023-12-11,0.0857,19.61,21.29,21.29,18.03,18.05,285117,5146361,5.6
ELTK,2023-12-11,0.0777,12.1,13.04,15.09,12.88,14.44,410990,5934695,7.2
GITS,2023-12-12,0.1438,12.59,14.4,22.0,13.35,17.0,725906,12340402,27.3
TDAY,2023-12-12,0.0899,1.89,2.06,2.2499,2.02,2.21,2514558,5557173,2.7
STTK,2023-12-13,1.0758,2.11,4.38,5.4199,3.67,4.86,57197880,277981696,1990.6
CCCC,2023-12-13,0.359,2.34,3.18,6.03,3.16,5.51,225851887,1244443897,688.8
GITS,2023-12-13,0.1412,17.0,19.4,22.0,17.27,21.8,348043,7587337,12.5
LFMD,2023-12-13,0.1173,8.1,9.05,9.11,7.2101,7.58,2566166,19451538,5.0
BLND,2023-12-13,0.1143,1.75,1.95,2.02,1.85,1.88,3535459,6646662,5.2
SKE,2023-12-13,0.0887,3.72,4.05,4.4833,3.9,4.43,1283825,5687344,8.1
HCAT,2023-12-13,0.0858,7.34,7.97,8.26,7.48,8.23,1486837,12236668,2.9
GOTU,2023-12-13,0.0756,3.44,3.7,3.89,3.38,3.69,21126842,77958046,11.1
GOTU,2023-12-14,0.1734,3.69,4.33,4.77,4.05,4.77,27865807,132919899,13.5
ALEC,2023-12-14,0.1414,6.9,7.876,8.3999,7.56,8.0,2096691,16773528,3.2
GFI,2023-12-14,0.1072,13.52,14.97,15.32,14.64,14.95,10634513,158985969,2.8
CDXS,2023-12-14,0.1005,2.09,2.3,3.02,2.3,2.95,5957570,17574831,8.5
OPEN,2023-12-14,0.0998,4.11,4.52,4.89,4.43,4.56,47098223,214767896,2.5
RUN,2023-12-14,0.0862,14.96,16.25,18.54,16.25,17.94,43830808,786324695,3.9
OPRA,2023-12-14,0.084,10.71,11.61,11.84,10.73,10.89,1818196,19800154,4.5
AVTX,2023-12-14,0.0798,14.16,15.29,22.08,14.98,16.18,668195,10811395,8.9
BATL,2023-12-15,0.8142,5.275,9.57,9.679,9.57,9.59,1051911,10087826,57.5
GNS,2023-12-15,0.1525,5.9,6.8,7.799,6.5,7.57,1365365,10335813,10.4
CCCC,2023-12-15,0.1138,5.01,5.58,6.42,4.89,4.95,85393911,422699859,260.4
GOTU,2023-12-15,0.0922,4.77,5.21,5.26,4.135,4.63,34288858,158757412,15.0
BMRA,2023-12-18,0.5253,7.92,12.08,17.04,10.08,13.2,8401756,110903179,2813.7
NRXP,2023-12-18,0.2938,3.39,4.386,4.77,3.7,4.21,2471807,10406307,88.2
ARQT,2023-12-18,0.2541,2.44,3.06,3.4295,2.46,2.54,45228000,114879120,18.4
IVVD,2023-12-18,0.2393,1.63,2.02,4.71,2.02,3.59,69260317,248644538,929.5
SFWL,2023-12-18,0.0998,9.92,10.91,10.925,3.55,4.79,1576754,7552651,9.3
CLF,2023-12-18,0.0834,18.7,20.26,21.165,19.9,20.5,43017459,881857909,5.9
NIO,2023-12-18,0.0764,7.98,8.59,8.64,8.23,8.35,131952971,1101807307,2.8
ZIM,2023-12-18,0.0757,6.509,7.002,7.393,6.394,6.597,13318144,87859795,3.7
IFBD,2023-12-19,0.1808,10.84,12.8,15.84,9.76,9.92,1972415,19566356,323.1
