setup,mechanic,window,n,wr,avg,med,p10_ret,p05_ret,worst_ret,sum,mfe_med,mae_med,avg_bars,p_hit15,p_hit25,exit_reasons
L1,fixed_24,full,307,0.6872964169381107,0.0016867204965912632,0.0011379340930668391,-0.0018488917237127422,-0.0030403946446094453,-0.009160198519845064,0.5178231924535178,0.00262030406178293,-0.0013729525240961937,19.77198697068404,0.6905537459283387,0.511400651465798,time:65.8%;eod:34.2%
L1,fixed_24,H1,156,0.6987179487179487,0.0024252308775203416,0.001611024342969447,-0.0015560285208223723,-0.002548452148666197,-0.009160198519845064,0.3783360168931733,0.0038239303085050302,-0.0016975188497955207,20.53205128205128,0.8076923076923077,0.6474358974358975,time:69.9%;eod:30.1%
L1,fixed_24,H2,151,0.6754966887417219,0.0009237561295387054,0.0007174534448062264,-0.0021196088067367835,-0.003450291823183904,-0.008258053780701657,0.1394871755603445,0.0019096967112222085,-0.0011225282525173519,18.986754966887418,0.5695364238410596,0.3708609271523179,time:61.6%;eod:38.4%
L1,fixed_eod,full,217,0.7741935483870968,0.004255636560525273,0.002644634316131489,-0.000983292182031792,-0.0016877849752624516,-0.008258053780701657,0.9234731336339843,0.004236142459384862,-0.0015792097185015619,48.70967741935484,0.8064516129032258,0.7096774193548387,eod:100.0%
L1,fixed_eod,H1,110,0.8090909090909091,0.006193975023179152,0.004123507153693362,-0.0008578572421975128,-0.0011909606306265753,-0.005223301791095314,0.6813372525497068,0.006068293106581191,-0.0019365914064684575,52.336363636363636,0.9,0.8272727272727273,eod:100.0%
L1,fixed_eod,H2,107,0.7383177570093458,0.0022629521596661453,0.001547404837431321,-0.0010705714785547826,-0.0027212153355043677,-0.008258053780701657,0.24213588108427753,0.0029142189747692893,-0.001293957956338243,44.981308411214954,0.7102803738317757,0.5887850467289719,eod:100.0%
L1,sma9_close_max12,full,344,0.6656976744186046,0.0004599817529157612,0.0004488249407850198,-0.001353120877995406,-0.0025973576358520934,-0.018717045571613244,0.15823372300302185,0.0009735481566759407,-0.000997841334658911,6.2645348837209305,0.33430232558139533,0.16569767441860464,sma9_close:85.5%;eod:9.3%;time:5.2%
L1,sma9_close_max12,H1,172,0.7325581395348837,0.0007374161293166385,0.000672099485504174,-0.0012447264152512178,-0.0032071872731195433,-0.018717045571613244,0.12683557424246183,0.0013301549345571262,-0.0012832872836188725,6.255813953488372,0.43023255813953487,0.25,sma9_close:87.8%;eod:6.4%;time:5.8%
L1,sma9_close_max12,H2,172,0.5988372093023255,0.00018254737651488383,0.00018780505073345832,-0.0013633372836213574,-0.0025046939024296164,-0.007925411237525659,0.03139814876056002,0.0007055262835605758,-0.0007702269733829703,6.273255813953488,0.23837209302325582,0.08139534883720931,sma9_close:83.1%;eod:12.2%;time:4.7%
L1,bbmid_close_max12,full,336,0.6785714285714286,0.0005709873226666801,0.0004823028162138643,-0.00226538861001635,-0.0035939569400434968,-0.018717045571613244,0.1918517404160045,0.0013178086887655205,-0.0011049518339361075,8.476190476190476,0.4375,0.26785714285714285,bb_mid_close:53.9%;time:33.3%;eod:12.8%
