setup,mechanic,hist_n,hist_wr,hist_avg,hist_med,hist_p10_ret,hist_p05_ret,hist_worst_ret,hist_avg_bars,hist_exit_reasons,hist_h1_n,hist_h1_wr,hist_h1_avg,hist_h2_n,hist_h2_wr,hist_h2_avg,recent_n,recent_wr,recent_avg,recent_med,recent_p10_ret,recent_p05_ret,recent_worst_ret,recent_avg_bars,recent_exit_reasons
L3,fixed_8,170,0.6411764705882353,0.0009002905142461,0.000732569526229,-0.0028194248294986,-0.004088447578019,-0.0169170816714184,7.464705882352941,time:87.6%;eod:12.4%,88,0.6931818181818182,0.001525986131243,82,0.5853658536585366,0.0002288122911274,20,0.8,0.0012657148347188,0.0007979241230852,-0.0006645698304306,-0.0008942768050732,-0.0009480037387971,7.85,time:95.0%;eod:5.0%
L3,fixed_12,165,0.6363636363636364,0.0010459363140552,0.0007208099143429,-0.0025819334332296,-0.0044875918175912,-0.0187170455716132,10.915151515151516,time:81.2%;eod:18.8%,86,0.6976744186046512,0.0018287422193845,79,0.569620253164557,0.0001937678601524,19,0.7368421052631579,0.0011748079433155,0.0006695572291608,-0.0006511688016212,-0.0010369899278944,-0.003436063308666,11.63157894736842,time:84.2%;eod:15.8%
L3,fixed_18,164,0.676829268292683,0.0015561810395149,0.0012186689818116,-0.002684499646342,-0.0046123147581668,-0.0130518806167531,15.609756097560975,time:73.8%;eod:26.2%,86,0.7674418604651163,0.0022954831777865,78,0.5769230769230769,0.0007410530409078,19,0.5789473684210527,0.0010131686024307,0.0005663560241142,-0.0033202946924987,-0.0040241860791386,-0.0042235084745474,16.157894736842106,time:73.7%;eod:26.3%
L3,fixed_24,162,0.7037037037037037,0.0019494951477362,0.0014331893837178,-0.0023193694079568,-0.003923865414378,-0.009160198519845,19.895061728395063,time:69.1%;eod:30.9%,86,0.7790697674418605,0.0026005071107923,76,0.618421052631579,0.0012128237158569,17,0.7058823529411765,0.0010746491258843,0.0007277044204905,-0.0040913682901176,-0.0043878995597075,-0.005038049775254,20.176470588235293,time:64.7%;eod:35.3%
L3,fixed_eod,137,0.8029197080291971,0.0047687634621122,0.0035252808568122,-0.0008065668496469,-0.0011902751716581,-0.0082773005447747,51.37956204379562,eod:100.0%,71,0.8309859154929577,0.0062476706234416,66,0.7727272727272727,0.0031778178794698,14,1.0,0.00258359696035,0.0020446829010823,0.0007392783402189,0.0004254872006299,0.0001638736713018,56.71428571428572,eod:100.0%
L3,sma9_close_max12,168,0.6964285714285714,0.0007450514084067,0.0006926902370645,-0.0017704161877768,-0.0037550300763911,-0.0187170455716132,6.613095238095238,sma9_close:85.1%;eod:8.9%;time:6.0%,87,0.7816091954022989,0.0012301353195456,81,0.6049382716049383,0.000224035355702,20,0.85,0.0007676803668184,0.0006142281059194,-0.0001465818190075,-0.0002390949119,-0.0006257715270316,6.35,sma9_close:90.0%;time:5.0%;eod:5.0%
L3,bbmid_close_max12,166,0.6445783132530121,0.0008900974693247,0.0008067657144023,-0.0025763841322306,-0.0044825015742775,-0.0187170455716132,9.228915662650602,bb_mid_close:46.4%;time:41.0%;eod:12.7%,87,0.7011494252873564,0.0016855103569639,79,0.5822784810126582,1.413644116503211e-05,19,0.8947368421052632,0.0012262685507933,0.0013715799603621,-0.000112265002212,-0.0010369899278944,-0.003436063308666,9.473684210526317,bb_mid_close:63.2%;time:26.3%;eod:10.5%
L3,target15_max12,182,0.7417582417582418,0.0003842215151755,0.0013497749999999,-0.0020237882488097,-0.0030625144727259,-0.0082773005447747,5.950549450549451,target_15bp:64.3%;time:24.7%;eod:11.0%,100,0.81,0.000673029314707,82,0.6585365853658537,3.201688160063452e-05,21,0.9047619047619048,0.0009205980253396,0.0013497749999999,0.0001638736713018,-0.0006213544472966,-0.003436063308666,7.428571428571429,target_15bp:71.4%;eod:14.3%;time:14.3%
L3,target25_max12,173,0.6994219653179191,0.0006972611728402,0.0021149805455045,-0.0022548057450286,-0.0036606621872784,-0.0082773005447747,7.491329479768786,target_25bp:49.1%;time:37.6%;eod:13.3%,93,0.7849462365591398,0.0012440906486151,80,0.6,6.157190725186723e-05,19,0.7894736842105263,0.0008993706123696,0.0011518182126468,-0.0006511688016212,-0.0010369899278944,-0.003436063308666,10.0,time:52.6%;target_25bp:31.6%;eod:15.8%
L3,resignal_extend5_cap24,170,0.6235294117647059,0.0006364953773209,0.0004735913150666,-0.0026219002063019,-0.0033175260808756,-0.0169170816714184,6.052941176470588,resignal_time:60.0%;time:30.0%;eod:10.0%,88,0.6931818181818182,0.0010069133195449,82,0.5487804878048781,0.0002389736832269,20,0.8,0.0010137441995674,0.0005298456641843,-0.000407810686918,-0.0005677079249518,-0.0013664820750496,6.1,resignal_time:55.0%;time:40.0%;eod:5.0%
