symbol,setup,mechanic,overlay_id,iv_mult,n,wr,avg,med,p10,p05,worst,premium_cap_usd,modeled_only
QQQ,L2,fixed_24,QQQ_ATM_CALL_2DTE,1.0,54,0.6666666666666666,0.2391684030566369,0.10143715099583606,-0.16187620297637748,-0.2842440173923954,-0.753479618350003,250,True
QQQ,L2,fixed_24,QQQ_ATM_CALL_2DTE,1.25,54,0.6296296296296297,0.1627045999220522,0.05915804715784567,-0.1401212364784073,-0.24533597020243159,-0.6671454460028263,250,True
QQQ,L2,fixed_24,QQQ_ATM_CALL_2DTE,1.5,54,0.6111111111111112,0.11412582175279996,0.03489745969164115,-0.12530766448336506,-0.21834013610192568,-0.5977199821375996,250,True
QQQ,L2,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,54,0.6851851851851852,0.2010553065052591,0.11872567506223486,-0.13660601751776202,-0.2560686885622731,-0.7192506972538008,250,True
QQQ,L2,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,54,0.6851851851851852,0.14491538114886093,0.08542372012533794,-0.11101658359489758,-0.20681499114048518,-0.6119084130386099,250,True
QQQ,L2,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,54,0.6481481481481481,0.1111494336634668,0.06485599649796336,-0.09418353733662735,-0.17314857021498614,-0.5266348118820078,250,True
QQQ,L2,fixed_eod,QQQ_ATM_CALL_2DTE,1.0,54,0.6851851851851852,0.5231001154438901,0.1940684212279279,-0.24990613621719893,-0.3178423583068688,-0.753479618350003,250,True
QQQ,L2,fixed_eod,QQQ_ATM_CALL_2DTE,1.25,54,0.6296296296296297,0.35518403180259195,0.11022756658756061,-0.24210729574068393,-0.3092021270216683,-0.6671454460028263,250,True
QQQ,L2,fixed_eod,QQQ_ATM_CALL_2DTE,1.5,54,0.5925925925925926,0.2470611771367493,0.055928560461531274,-0.2280209171127955,-0.29930017626127814,-0.5977199821375996,250,True
QQQ,L2,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,54,0.7037037037037037,0.43369075909682553,0.23551672849464034,-0.16570084734143867,-0.26443913668550667,-0.7192506972538008,250,True
QQQ,L2,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,54,0.7037037037037037,0.3285369763600397,0.1741599318858702,-0.1373278176157234,-0.21639049452347758,-0.6119084130386099,250,True
QQQ,L2,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,54,0.6666666666666666,0.2626857786837238,0.13629189151531362,-0.11733026824594424,-0.18177986382002057,-0.5266348118820078,250,True
QQQ,L3,fixed_24,QQQ_ATM_CALL_2DTE,1.0,34,0.7058823529411765,0.2984683966506368,0.10818556521970268,-0.1147655799001259,-0.23327551919715117,-0.6065286276533763,250,True
QQQ,L3,fixed_24,QQQ_ATM_CALL_2DTE,1.25,34,0.6176470588235294,0.20860596322145178,0.06450714267616664,-0.11097766563287753,-0.2089268329488551,-0.5243064255005441,250,True
QQQ,L3,fixed_24,QQQ_ATM_CALL_2DTE,1.5,34,0.6176470588235294,0.15143478617235795,0.03933737812119886,-0.1088696841246426,-0.19186970903037717,-0.4627365698873154,250,True
QQQ,L3,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,34,0.7058823529411765,0.24858289329195776,0.12400830893235248,-0.09339121338148872,-0.20209893593094036,-0.564806109860688,250,True
QQQ,L3,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,34,0.7058823529411765,0.1807302411004762,0.08914191003598881,-0.07706093998987602,-0.16576907054875606,-0.46610469548019895,250,True
QQQ,L3,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,34,0.7058823529411765,0.13976643010824366,0.06764841137848177,-0.06632675657024648,-0.14029847290239206,-0.3940264055236191,250,True
QQQ,L3,fixed_eod,QQQ_ATM_CALL_2DTE,1.0,34,0.7647058823529411,0.683980180821818,0.3218487078859015,-0.2449360418591797,-0.3222339276634937,-0.6065286276533763,250,True
QQQ,L3,fixed_eod,QQQ_ATM_CALL_2DTE,1.25,34,0.6470588235294118,0.4731399249703608,0.2347096004313327,-0.2567366687615545,-0.3183408709565547,-0.5243064255005441,250,True
QQQ,L3,fixed_eod,QQQ_ATM_CALL_2DTE,1.5,34,0.6470588235294118,0.3372275736995654,0.18020762466409446,-0.26456763465979427,-0.3157174872188285,-0.4627365698873154,250,True
QQQ,L3,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,34,0.7647058823529411,0.5667933779208992,0.35147126761298664,-0.1476922973628783,-0.21802532446833864,-0.564806109860688,250,True
QQQ,L3,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,34,0.7647058823529411,0.43133017201173945,0.2585949453498967,-0.12608186081143422,-0.18162665681705817,-0.46610469548019895,250,True
QQQ,L3,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,34,0.7647058823529411,0.3460873493698819,0.20214746317343946,-0.10913480857725447,-0.15486240276415092,-0.3940264055236191,250,True
