setup,mechanic,kind,bucket,n,und_wr,und_avg,opt_n,opt_wr,opt_avg,opt_med,opt_p05,vix_mean
L2_first,fixed_24,pct252,pct 40-60,11,0.8181818181818182,0.0019948526016513547,11.0,0.36363636363636365,-0.02239579742977775,-0.02679824476683723,-0.32776397303435023,17.51454561406916
L2_first,fixed_24,pct252,pct 60-80,7,0.7142857142857143,0.004681802600097942,7.0,0.7142857142857143,0.06021728922447573,0.043067917107047826,-0.12082451704263183,18.74000004359654
L2_first,fixed_24,pct252,pct 80-100 (high),0,,,,,,,,
L2_first,fixed_eod,level,<13,0,,,,,,,,
L2_first,fixed_eod,level,13-15,0,,,,,,,,
L2_first,fixed_eod,level,15-18,18,0.8333333333333334,0.00903765056267138,18.0,0.7222222222222222,0.11939493714505556,0.05803654806850589,-0.1416182513569404,16.89333332909478
L2_first,fixed_eod,level,18-22,7,0.8571428571428571,0.009281233567043828,7.0,0.5714285714285714,0.11820305447430779,0.043067917107047826,-0.19622264739306303,18.74428585597447
L2_first,fixed_eod,level,22-30,0,,,,,,,,
L2_first,fixed_eod,level,>=30,0,,,,,,,,
L2_first,fixed_eod,pct252,pct 0-20 (low),1,0.0,-0.0029648453917987,1.0,0.0,-0.11157083556140135,-0.11157083556140135,-0.11157083556140135,15.31999969482422
L2_first,fixed_eod,pct252,pct 20-40,6,0.8333333333333334,0.014172873039533351,6.0,0.8333333333333334,0.24799913646037472,0.18602748297578453,-0.09105978280650334,16.021666526794434
L2_first,fixed_eod,pct252,pct 40-60,11,0.9090909090909091,0.0074951410248423715,11.0,0.6363636363636364,0.048907874209383334,0.044429807258905774,-0.18921718481309685,17.51454561406916
L2_first,fixed_eod,pct252,pct 60-80,7,0.8571428571428571,0.009018200139817729,7.0,0.7142857142857143,0.15173137863244154,0.043067917107047826,-0.09361300950347418,18.74000004359654
L2_first,fixed_eod,pct252,pct 80-100 (high),0,,,,,,,,
L3_first,fixed_24,level,<13,0,,,,,,,,
L3_first,fixed_24,level,13-15,0,,,,,,,,
L3_first,fixed_24,level,15-18,12,1.0,0.011980080438288425,12.0,0.8333333333333334,0.27138635191349647,0.14942231684845586,-0.00240663683211767,16.700833320617676
L3_first,fixed_24,level,18-22,2,0.5,-0.00554970942557985,2.0,0.5,-0.17083835828656846,-0.17083835828656846,-0.3470664099290608,18.155000686645508
L3_first,fixed_24,level,22-30,0,,,,,,,,
L3_first,fixed_24,level,>=30,0,,,,,,,,
L3_first,fixed_24,pct252,pct 0-20 (low),0,,,,,,,,
L3_first,fixed_24,pct252,pct 20-40,7,1.0,0.01646858572197547,7.0,1.0,0.4276178750221068,0.4664828472637492,0.12261828830327567,16.037142617361887
L3_first,fixed_24,pct252,pct 40-60,6,0.8333333333333334,0.0025504797356440665,6.0,0.5,-0.017222701124799105,0.021437646221870665,-0.275847508241324,17.695000330607098
L3_first,fixed_24,pct252,pct 60-80,1,1.0,0.0020785679406087,1.0,1.0,0.024970587982867443,0.024970587982867443,0.024970587982867443,18.290000915527344
L3_first,fixed_24,pct252,pct 80-100 (high),0,,,,,,,,
L3_first,fixed_eod,level,<13,0,,,,,,,,
L3_first,fixed_eod,level,13-15,0,,,,,,,,
L3_first,fixed_eod,level,15-18,12,1.0,0.017030897448763533,12.0,1.0,0.3581134705018507,0.3281952859205368,0.026706967118921333,16.700833320617676
L3_first,fixed_eod,level,18-22,2,1.0,0.0024578073060379,2.0,0.5,-0.10476514336651899,-0.10476514336651899,-0.22152730158096678,18.155000686645508
L3_first,fixed_eod,level,22-30,0,,,,,,,,
L3_first,fixed_eod,level,>=30,0,,,,,,,,
L3_first,fixed_eod,pct252,pct 0-20 (low),0,,,,,,,,
L3_first,fixed_eod,pct252,pct 20-40,7,1.0,0.0189476506924906,7.0,1.0,0.44374811678022297,0.4768985419089524,0.023742908606394608,16.037142617361887
L3_first,fixed_eod,pct252,pct 40-60,6,1.0,0.012429043534865883,6.0,0.8333333333333334,0.1594373256407903,0.17927486743131027,-0.1654677304682598,17.695000330607098
L3_first,fixed_eod,pct252,pct 60-80,1,1.0,0.0020785679406087,1.0,1.0,0.024970587982867443,0.024970587982867443,0.024970587982867443,18.290000915527344
L3_first,fixed_eod,pct252,pct 80-100 (high),0,,,,,,,,
