setup,mechanic,window,n,wr,avg,med,p10_ret,p05_ret,worst_ret,sum,mfe_med,mae_med,avg_bars,p_hit15,p_hit25,exit_reasons
L3h,fixed_12,full,36,0.6388888888888888,0.0016530002644297036,0.000722895956741243,-0.0007389692252640634,-0.0014166514058944757,-0.006500649601689612,0.05950800951946933,0.0024001352945604015,-0.0010135556817310043,11.11111111111111,0.6388888888888888,0.4722222222222222,time:86.1%;eod:13.9%
L3h,fixed_12,H1,23,0.7391304347826086,0.002020433928469936,0.001453742791688084,-0.00047044149961608103,-0.0007835080753195833,-0.002782078467354121,0.04646998035480854,0.002852575116735423,-0.000928904388170837,11.478260869565217,0.6956521739130435,0.5217391304347826,time:87.0%;eod:13.0%
L3h,fixed_12,H2,13,0.46153846153846156,0.0010029253203585225,-0.0001140853321196511,-0.0009015485267072298,-0.0031771652719206006,-0.006500649601689612,0.013038029164660792,0.0019480990185349878,-0.0013299021849699777,10.461538461538462,0.5384615384615384,0.38461538461538464,time:84.6%;eod:15.4%
L3h,fixed_18,full,35,0.8285714285714286,0.0026544078290966595,0.0025174024774083925,-0.0011190558113939762,-0.0019098110301642543,-0.005568087849005532,0.09290427401838308,0.0031604617570097915,-0.0009352604963264177,16.457142857142856,0.8,0.6571428571428571,time:77.1%;eod:22.9%
L3h,fixed_18,H1,22,0.9090909090909091,0.002992235099172816,0.0026290355611914284,9.17997233338852e-05,-0.0009330145005090217,-0.005568087849005532,0.06582917218180195,0.0033763626103765487,-0.0009232605321438103,17.136363636363637,0.8636363636363636,0.6818181818181818,time:77.3%;eod:22.7%
L3h,fixed_18,H2,13,0.6923076923076923,0.002082700141275471,0.00165403800747832,-0.0013699123848158522,-0.002076238982550027,-0.0030748066968646626,0.027075101836581128,0.002760264512260413,-0.0013299021849699777,15.307692307692308,0.6923076923076923,0.6153846153846154,time:76.9%;eod:23.1%
L3h,fixed_24,full,35,0.7714285714285715,0.0031789131562908256,0.0023053690122205595,-0.0004799867856336569,-0.0015747060082755057,-0.005568087849005532,0.11126196047017889,0.003592263463743306,-0.0009352604963264177,21.02857142857143,0.8285714285714286,0.6571428571428571,time:68.6%;eod:31.4%
L3h,fixed_24,H1,22,0.8636363636363636,0.0035623827199128366,0.0022658955825293203,-8.270032488377757e-06,-0.00019544289784509394,-0.005568087849005532,0.07837241983808241,0.004026219572070722,-0.0009232605321438103,21.772727272727273,0.9090909090909091,0.6818181818181818,time:68.2%;eod:31.8%
L3h,fixed_24,H2,13,0.6153846153846154,0.0025299646640074215,0.0023053690122205595,-0.001098303870688766,-0.0016971236003501698,-0.0024316291527981537,0.03288954063209648,0.002760264512260413,-0.0013299021849699777,19.76923076923077,0.6923076923076923,0.6153846153846154,time:69.2%;eod:30.8%
L3h,fixed_eod,full,31,0.8709677419354839,0.005064989772253651,0.0036641820215348453,-1.4326422465349431e-05,-0.0004345568757326279,-0.005568087849005532,0.1570146829398632,0.005943341716861283,-0.000928904388170837,53.193548387096776,0.9354838709677419,0.8387096774193549,eod:100.0%
L3h,fixed_eod,H1,19,0.8947368421052632,0.005784708608741988,0.0036641820215348453,6.308984955916142e-05,-0.0005697025651193676,-0.005568087849005532,0.10990946356609776,0.0052669459147707265,-0.0009176166761167837,51.10526315789474,0.9473684210526315,0.8421052631578947,eod:100.0%
L3h,fixed_eod,H2,12,0.8333333333333334,0.003925434947813787,0.003070915233701843,-0.00010944315730203593,-0.00041184192078211335,-0.0006617064252377736,0.04710521937376544,0.006432553084074866,-0.0014264370028454487,56.5,0.9166666666666666,0.8333333333333334,eod:100.0%
L3h,sma9_close_max12,full,36,0.7222222222222222,0.0008053153021648372,0.000718503732479836,-0.0007901612729344643,-0.0034190892036236875,-0.006500649601689612,0.02899135087793414,0.001398244106121882,-0.0009232605321438103,6.083333333333333,0.4166666666666667,0.25,sma9_close:88.9%;eod:5.6%;time:5.6%
L3h,sma9_close_max12,H1,23,0.782608695652174,0.000998288492954691,0.0007216637462976738,-0.0005107799515404298,-0.0007970809487255814,-0.005164916989534696,0.02296063533795789,0.0014688272949532344,-0.0009176166761167837,5.739130434782608,0.4782608695652174,0.2608695652173913,sma9_close:95.7%;eod:4.3%
L3h,sma9_close_max12,H2,13,0.6153846153846154,0.00046390119538278847,0.0005086110486487438,-0.0024206397092349616,-0.004302547805667856,-0.006500649601689612,0.00603071553997625,0.0013347185857155441,-0.0011707060646239942,6.6923076923076925,0.3076923076923077,0.23076923076923078,sma9_close:76.9%;time:15.4%;eod:7.7%
L3h,bbmid_close_max12,full,36,0.6666666666666666,0.001041516500832445,0.000746949054662327,-0.0007389692252640634,-0.0014166514058944757,-0.006500649601689612,0.03749459402996802,0.0019059851132703365,-0.0010135556817310043,8.916666666666666,0.5833333333333334,0.3333333333333333,bb_mid_close:50.0%;time:41.7%;eod:8.3%
L3h,bbmid_close_max12,H1,23,0.782608695652174,0.0012673925463766058,0.0009470720764026552,-0.00047044149961608103,-0.0007835080753195833,-0.002782078467354121,0.029150028566661934,0.001880924582760235,-0.000928904388170837,9.26086956521739,0.6086956521739131,0.34782608695652173,bb_mid_close:60.9%;time:34.8%;eod:4.3%
L3h,bbmid_close_max12,H2,13,0.46153846153846156,0.0006418896510235451,-0.0001140853321196511,-0.0009015485267072298,-0.0031771652719206006,-0.006500649601689612,0.008344565463306086,0.0019480990185349878,-0.0013299021849699777,8.307692307692308,0.5384615384615384,0.3076923076923077,time:53.8%;bb_mid_close:30.8%;eod:15.4%
L3h,vwap_close_max12,full,38,0.7105263157894737,0.0010388472486783855,0.0007280935153385348,-0.0011108010268023327,-0.0018316491465114769,-0.006500649601689612,0.03947619544977865,0.0012130968243787565,-0.0008947438932509488,5.868421052631579,0.4473684210526316,0.23684210526315788,vwap_close:76.3%;time:18.4%;eod:5.3%
L3h,vwap_close_max12,H1,24,0.7916666666666666,0.001494353279800048,0.0008333014471225697,-0.0003670425373305752,-0.00039617093681000305,-0.002782078467354121,0.035864478715201153,0.001352699023671966,-0.0009097512249202078,6.416666666666667,0.4583333333333333,0.25,vwap_close:75.0%;time:20.8%;eod:4.2%
L3h,vwap_close_max12,H2,14,0.5714285714285714,0.0002579797667555355,0.0006074780175399086,-0.0016024931179805303,-0.003356779471962462,-0.006500649601689612,0.003611716734577497,0.0010194079225110952,-0.000700642853173894,4.928571428571429,0.42857142857142855,0.21428571428571427,vwap_close:78.6%;time:14.3%;eod:7.1%
L3h,target15_max12,full,39,0.7435897435897436,0.0006085935204189136,0.0013497749999999975,-0.0006821443395160109,-0.0008307597279687773,-0.006500649601689612,0.023735147296337633,0.0017506321195004393,-0.000928904388170837,6.0256410256410255,0.6410256410256411,0.15384615384615385,target_15bp:64.1%;time:30.8%;eod:5.1%
L3h,target15_max12,H1,24,0.875,0.0009486344574971597,0.0013497749999999975,-0.00012857785617883518,-0.0003817950373996792,-0.0008162320252903532,0.02276722697993183,0.0017253029837585032,-0.0009232605321438103,6.083333333333333,0.7083333333333334,0.16666666666666666,target_15bp:70.8%;time:25.0%;eod:4.2%
L3h,target15_max12,H2,15,0.5333333333333333,6.45280210937201e-05,0.0013497749999999975,-0.0008824638298963404,-0.002623251216959099,-0.006500649601689612,0.0009679203164058015,0.0017986861135561583,-0.001009775917522271,5.933333333333334,0.5333333333333333,0.13333333333333333,target_15bp:53.3%;time:40.0%;eod:6.7%
L3h,target25_max12,full,36,0.6388888888888888,0.0008095366607353364,0.001112988577357532,-0.0007389692252640634,-0.0014166514058944757,-0.006500649601689612,0.02914331978647211,0.0024001352945604015,-0.0009320824422486274,7.777777777777778,0.6388888888888888,0.4722222222222222,target_25bp:47.2%;time:44.4%;eod:8.3%
L3h,target25_max12,H1,23,0.7391304347826086,0.0011218882366317681,0.002349624999999911,-0.00047044149961608103,-0.0007835080753195833,-0.002782078467354121,0.025803429442530668,0.0025367596012229043,-0.000928904388170837,8.130434782608695,0.6956521739130435,0.5217391304347826,target_25bp:52.2%;time:43.5%;eod:4.3%
L3h,target25_max12,H2,13,0.46153846153846156,0.00025691464184164945,-0.0001140853321196511,-0.0009015485267072298,-0.0031771652719206006,-0.006500649601689612,0.003339890343941443,0.0019480990185349878,-0.0011707060646239942,7.153846153846154,0.5384615384615384,0.38461538461538464,time:46.2%;target_25bp:38.5%;eod:15.4%
L3h,target15_or_sma9_max12,full,39,0.7435897435897436,0.0003353960870312418,0.0009455215339977396,-0.0009061357436811245,-0.002852083775572267,-0.006500649601689612,0.01308044739421843,0.0013886119460257973,-0.0008876020127782658,4.615384615384615,0.41025641025641024,0.1282051282051282,sma9_close:51.3%;target_15bp:41.0%;eod:5.1%;time:2.6%
L3h,target15_or_sma9_max12,H1,24,0.8333333333333334,0.0006116514996231578,0.0008582151700868845,-0.0004964621320665996,-0.0007827662066012763,-0.0029865182808425095,0.014679635990955786,0.0014383517805856005,-0.0009026093444475247,4.458333333333333,0.4583333333333333,0.125,sma9_close:50.0%;target_15bp:45.8%;eod:4.2%
L3h,target15_or_sma9_max12,H2,15,0.6,-0.0001066125731158237,0.000998959204843164,-0.0021934227595955536,-0.003936197506330896,-0.006500649601689612,-0.0015991885967373554,0.0013347185857155441,-0.000708599668960086,4.866666666666666,0.3333333333333333,0.13333333333333333,sma9_close:53.3%;target_15bp:33.3%;eod:6.7%;time:6.7%
L3h,resignal_extend5_cap24,full,36,0.6666666666666666,0.0007098361389179212,0.0006233700503404105,-0.0009975259317405727,-0.0027852700864591795,-0.005363486866383105,0.02555410100104516,0.0017746591165282988,-0.0008951330431038462,5.777777777777778,0.5555555555555556,0.3055555555555556,time:47.2%;resignal_time:44.4%;eod:8.3%
L3h,resignal_extend5_cap24,H1,23,0.6956521739130435,0.0008009119167758589,0.0007153437186619982,-0.000642254180005275,-0.000940267760753899,-0.005363486866383105,0.018420974085844755,0.0017506321195004393,-0.0009026640734294267,5.739130434782608,0.5652173913043478,0.30434782608695654,time:60.9%;resignal_time:34.8%;eod:4.3%
L3h,resignal_extend5_cap24,H2,13,0.6153846153846154,0.0005487020704000312,0.0003505888544532709,-0.002158340978537065,-0.0029915694424805348,-0.003816766866565957,0.007133126915200405,0.0017986861135561583,-0.000692686037387702,5.846153846153846,0.5384615384615384,0.3076923076923077,resignal_time:61.5%;time:23.1%;eod:15.4%
L3h,resignal_target15_or_sma9_cap24,full,39,0.717948717948718,0.0003535093882456433,0.0009455215339977396,-0.0010663302668945552,-0.0025158463405624775,-0.003816766866565957,0.01378686614158009,0.0013886119460257973,-0.0008876020127782658,4.0256410256410255,0.41025641025641024,0.1282051282051282,target_15bp:41.0%;sma9_close:30.8%;resignal_time:15.4%;time:7.7%;eod:5.1%
L3h,resignal_target15_or_sma9_cap24,H1,24,0.7916666666666666,0.0005430192417308031,0.0008582151700868845,-0.0005240204403965775,-0.0009046458735898544,-0.003185522967812493,0.013032461801539275,0.0014383517805856005,-0.0008951330431038462,4.041666666666667,0.4583333333333333,0.125,target_15bp:45.8%;sma9_close:29.2%;time:12.5%;resignal_time:8.3%;eod:4.2%
L3h,resignal_target15_or_sma9_cap24,H2,15,0.6,5.029362266938768e-05,0.000998959204843164,-0.0019559974904576945,-0.002854036538466298,-0.003816766866565957,0.0007544043400408151,0.0013347185857155441,-0.000708599668960086,4.0,0.3333333333333333,0.13333333333333333,target_15bp:33.3%;sma9_close:33.3%;resignal_time:26.7%;eod:6.7%
L1_first,fixed_5,full,60,0.6,0.0005061036959133847,0.00045069368350048045,-0.001462952926453076,-0.002254618233197969,-0.007150615758018786,0.03036622175480308,0.0014652968084786222,-0.0009449572013453533,4.883333333333334,0.48333333333333334,0.2,time:93.3%;eod:6.7%
L1_first,fixed_5,H1,36,0.6944444444444444,0.0008838608631059126,0.0010579845670091181,-0.0008460806255100595,-0.0016379880036053451,-0.007150615758018786,0.03181899107181285,0.0018170926078191485,-0.001029881734957494,4.888888888888889,0.5555555555555556,0.2777777777777778,time:94.4%;eod:5.6%
L1_first,fixed_5,H2,24,0.4583333333333333,-6.053205487540717e-05,-0.0001845489264833411,-0.001858226913766736,-0.0026038722107858737,-0.004834791352302581,-0.0014527693170097722,0.0010634757329719413,-0.000840677611339935,4.875,0.375,0.08333333333333333,time:91.7%;eod:8.3%
L1_first,fixed_8,full,60,0.5666666666666667,0.0005668784098044573,0.00043761520258456255,-0.0017527620029011426,-0.002463375735983869,-0.005661341681655663,0.03401270458826744,0.001527187567369137,-0.0010895852680231077,7.683333333333334,0.5166666666666667,0.3,time:90.0%;eod:10.0%
L1_first,fixed_8,H1,36,0.6388888888888888,0.0008427902573427034,0.0007328278380002162,-0.0015862069096538312,-0.002209961493482737,-0.005661341681655663,0.03034044926433732,0.0020418880112820226,-0.0011045877642491542,7.722222222222222,0.6111111111111112,0.3888888888888889,time:94.4%;eod:5.6%
L1_first,fixed_8,H2,24,0.4583333333333333,0.00015301063849708826,-0.00011766837716820078,-0.0016712733941140142,-0.002366446941648087,-0.003816766866565957,0.003672255323930118,0.0011998811722376823,-0.0010298086977422738,7.625,0.375,0.16666666666666666,time:83.3%;eod:16.7%
L1_first,fixed_12,full,60,0.6166666666666667,0.0008707873380167375,0.0005558435732506695,-0.0019507789176429812,-0.002793302023872368,-0.006500649601689612,0.05224724028100425,0.0020536767468214423,-0.001424618002215161,11.283333333333333,0.6166666666666667,0.36666666666666664,time:88.3%;eod:11.7%
L1_first,fixed_12,H1,36,0.6666666666666666,0.00107698656712657,0.0006627773788979718,-0.0022178112053412025,-0.0028381962499453572,-0.006416081847354094,0.03877151641655652,0.0023790038534253766,-0.00158439775397351,11.5,0.6944444444444444,0.4722222222222222,time:91.7%;eod:8.3%
L1_first,fixed_12,H2,24,0.5416666666666666,0.0005614884943519888,0.0004833555051279026,-0.001598080957916503,-0.001930908428747624,-0.006500649601689612,0.01347572386444773,0.0016277801975073114,-0.0013493246451934948,10.958333333333334,0.5,0.20833333333333334,time:83.3%;eod:16.7%
L1_first,fixed_18,full,60,0.7333333333333333,0.001751657047304465,0.0010582104558101157,-0.0014135367105878483,-0.0019240060222082578,-0.0030748066968646626,0.1050994228382679,0.002689849472262029,-0.001424618002215161,16.366666666666667,0.7166666666666667,0.5333333333333333,time:83.3%;eod:16.7%
L1_first,fixed_18,H1,36,0.75,0.002012140702749086,0.001386563147499742,-0.0012135411146118602,-0.001586251304489944,-0.002593502571975881,0.0724370652989671,0.0028302115764727853,-0.00158439775397351,16.77777777777778,0.7777777777777778,0.5833333333333334,time:86.1%;eod:13.9%
L1_first,fixed_18,H2,24,0.7083333333333334,0.0013609315641375335,0.0009608353835756089,-0.001104923315527617,-0.0018618528813499234,-0.0030748066968646626,0.0326623575393008,0.0020606388366573025,-0.0013493246451934948,15.75,0.625,0.4583333333333333,time:79.2%;eod:20.8%
L1_first,fixed_24,full,60,0.7333333333333333,0.0021099410683471766,0.0015539008873712845,-0.001217050263839281,-0.0019249146691357132,-0.007849549075620965,0.12659646410083059,0.0031520404078195785,-0.001424618002215161,21.316666666666666,0.8,0.5833333333333334,time:80.0%;eod:20.0%
