recipe,combo,k,n_syms,syms,coverage,mean_n,mean_wr,mean_avg,mean_delta,min_n,min_wr,min_avg,sum_score,detail,kind
L3_rsi35,1d_bb_mid+1h_bb_mid,2,3,"DIA,QQQ,SPY",3/4,21.0,0.794043374925728,0.0014949974444313334,5.785575240351033e-05,17,0.7083333333333334,0.0010896139876579,0.025793400640079546,DIA n=24 WR=71% avg=+0.126% Δ=+0.003% | QQQ n=17 WR=76% avg=+0.214% Δ=+0.013% | SPY n=22 WR=91% avg=+0.109% Δ=+0.001%,pair
L3_rsi35,1h_bb_mid+1w_above_sma9,2,3,"DIA,QQQ,SPY",3/4,19.333333333333332,0.798015873015873,0.0015483560751603,0.00011121438313248411,14,0.7083333333333334,0.0011650539520767,0.025430146127001296,DIA n=24 WR=71% avg=+0.126% Δ=+0.003% | QQQ n=14 WR=79% avg=+0.222% Δ=+0.022% | SPY n=20 WR=90% avg=+0.117% Δ=+0.008%,pair
L2_hvol,15m_candle_dn+1d_bb_mid,2,3,"DIA,IWM,SPY",3/4,23.0,0.6936507936507935,0.0015149927417458335,0.0002874887509133079,18,0.6666666666666666,0.0012098114825191,0.025321768168887055,DIA n=30 WR=70% avg=+0.121% Δ=+0.003% | IWM n=18 WR=67% avg=+0.193% Δ=+0.061% | SPY n=21 WR=71% avg=+0.140% Δ=+0.022%,pair
L1_prior_up,15m_candle_dn+1d_above_sma9,2,3,"DIA,QQQ,SPY",3/4,27.0,0.6433183183183183,0.0014961500762253332,0.0006003107899588792,20,0.6,0.0009543498748572,0.02529176027413485,DIA n=37 WR=62% avg=+0.095% Δ=+0.006% | QQQ n=20 WR=60% avg=+0.214% Δ=+0.136% | SPY n=24 WR=71% avg=+0.139% Δ=+0.038%,pair
L3_rsi35,1w_above_sma9+30m_bb_mid,2,3,"DIA,QQQ,SPY",3/4,20.0,0.7926739926739926,0.0015275046964860666,9.03630044582592e-05,14,0.6923076923076923,0.0011345248164665,0.025245504663403105,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | QQQ n=14 WR=79% avg=+0.222% Δ=+0.022% | SPY n=20 WR=90% avg=+0.113% Δ=+0.005%,pair
L1_prior_up,1h_rsi_mid,1,3,"DIA,IWM,SPY",3/4,32.0,0.6854742547425475,0.0012866190031135998,0.0001429537330321,25,0.5666666666666667,0.0010583366174583,0.025123464199876457,DIA n=41 WR=61% avg=+0.106% Δ=+0.017% | IWM n=30 WR=57% avg=+0.163% Δ=+0.011% | SPY n=25 WR=88% avg=+0.117% Δ=+0.015%,single
L3_rsi35,15m_below_sma9+30m_rsi_mid,2,3,"DIA,QQQ,SPY",3/4,14.666666666666666,0.8208360267183797,0.001677864408826667,0.00024072271679880715,13,0.7647058823529411,0.0010969899442736,0.02502898194837811,DIA n=17 WR=76% avg=+0.180% Δ=+0.058% | QQQ n=13 WR=77% avg=+0.213% Δ=+0.013% | SPY n=14 WR=93% avg=+0.110% Δ=+0.002%,pair
L2_hvol,15m_candle_dn+1d_above_sma9,2,3,"DIA,QQQ,SPY",3/4,20.666666666666668,0.688235294117647,0.0016176683278355001,0.0005862264345967078,15,0.6,0.0012098114825191,0.024926044394924404,DIA n=30 WR=70% avg=+0.121% Δ=+0.003% | QQQ n=15 WR=60% avg=+0.212% Δ=+0.139% | SPY n=17 WR=76% avg=+0.152% Δ=+0.034%,pair
L3_rsi35,1w_above_sma9+1w_rsi_hi,2,3,"DIA,QQQ,SPY",3/4,18.333333333333332,0.7748868778280542,0.0016152161045597665,0.0001780744125319,12,0.6923076923076923,0.0012254774136195,0.02490503657902201,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | QQQ n=12 WR=75% avg=+0.232% Δ=+0.032% | SPY n=17 WR=88% avg=+0.130% Δ=+0.022%,pair
L2_hvol,1d_bb_mid+1h_candle_dn,2,3,"DIA,IWM,QQQ",3/4,14.333333333333334,0.7234695129431973,0.0017913680811146332,0.0007125887913813333,11,0.6153846153846154,0.0016917667760928,0.024806438286471992,DIA n=19 WR=74% avg=+0.190% Δ=+0.072% | IWM n=13 WR=62% avg=+0.178% Δ=+0.046% | QQQ n=11 WR=82% avg=+0.169% Δ=+0.096%,pair
